username,text,created_at,lang,possibly_sensitive
adhayiladim,"@smadarinbar @newsisrael13 @SenyorEli הלוואי היו מחוקקים פה. בקושי כלא הם מקבלים.",27/04/2023,he,False
adhayiladim,"מקור: https://t.co/Rn92SqDLIL",27/04/2023,he,False
adhayiladim,"מעגל הנרטיב סביב ״ילדים טרנס״ כפי שהוגדר ע״י ד״ר ג׳רמי שו בטוויטר (מקור בתגובות), תורגם על ידנו.
נשמח לשיתופים בכל הפלטפורמות!

Credit: @JeremyShawMD https://t.co/VzGvPMICoF",27/04/2023,he,False
adhayiladim,"איגוד הפסיכולוגים מתעלם מהמחקרים הכי עדכניים, ומשינוי מדיניות במדינות מתקדמות כמו בריטניה, שבדיה, פינלד ונורבגיה שהפסיקו בטיפולי "התאמה מגדרית" בילדים. 
מוזמנים להשכיל פה:  https://t.co/dBHvCXgzTN https://t.co/wMsQPLfxbN",27/04/2023,he,False
adhayiladim,"RT @nfsgalibh: משקרים לכל הילדים שלנו. ולא צריך להתלבט למי להאמין כי עיקור, סירוס, והפיכת ילדים בראים לחולים כרוניים לא יכולים להיות פתרון…",27/04/2023,he,False
adhayiladim,"@shakedmiriam למה העירייה מממנת שעת סיפור בדראג? יש להם אג'נדה ברורה מאוד",27/04/2023,he,False
adhayiladim,"@shakedmiriam @TelAvivYafo @Ron_Huldai",27/04/2023,qam,False
adhayiladim,"@cherderol @shakedmiriam @eBJg2WKX0UQEFG3 היא עושה הרבה יותר גרוע מרק לקיחת צד פוליטי.
האגודה דוחפות אג'נדות בבתי ספר, מממנת עורכי דין כדי להתריד את מנגדיה, ודוחפת ילדים לסירוס ופגיעה. יש לנו הרבה ציוצים על הנעשה, במיוחד סירוס ונזק בלתי הפיך בילדים הומוסקסואלים בשביל לקרוא להם "טרנס".",27/04/2023,he,False
adhayiladim,"RT @ProgressivismE: הם מכחישים שוב ושוב שהם מנרמלים פדופיליה, עד יום אחד הם חושפים את הדגל החדש ל"נטיה המינית החדשה"

ויש גם שם חדש! כי חיי…",26/04/2023,he,False
adhayiladim,"מלכת דראג "סוזי בום" מסביר שמחפש להופיע בפני הרבה ילדים ביוטיוב.
למה?
 שיעזוב את הילדים בשקט. שמרו על הילדים שלכם, תרחיקו אותם מהרוע הזה. https://t.co/CCHWD06fSk",26/04/2023,he,False
shirlief,"@DanielGinat ברור",27/04/2023,he,False
shirlief,"RT @adhayiladim: מלכת דראג "סוזי בום" מסביר שמחפש להופיע בפני הרבה ילדים ביוטיוב.
למה?
 שיעזוב את הילדים בשקט. שמרו על הילדים שלכם, תרחיקו…",26/04/2023,he,False
shirlief,"RT @TransJusticeOrg: "Only 1% detransition"... doesn't seem to hold up these days, does it? #DetransAwarenessDay #IAmDetrans https://t.co/E…",26/04/2023,en,False
shirlief,"@OliLondonTV They don’t learn ah? using this dude promoting female products is not so good for business #boycottmaybelline",26/04/2023,en,False
shirlief,"@HollyBriden @OliLondonTV Him",26/04/2023,und,False
shirlief,"@ClownWorld_ Didn’t they learn that using this dude for modelling women’s product is bad for business? 🤦🏻‍♀️ #boycottmaybelline",26/04/2023,en,False
shirlief,"RT @NotScottNewgent: One after another, after another.

Young adults are NOT doing well after medically transitioning in childhood. 

Mains…",25/04/2023,en,False
shirlief,"@OfTheFutureArt @VonAlawon I’m happy to read that your relationship with your mom healed .. my daughter is now a year on T and has cut off all contact with me. I pray each day that one day our relationship will heal as well with min damages to her body",25/04/2023,en,False
shirlief,"@sleepymammabear Celebrities are working for the agenda and the CIA",25/04/2023,en,False
shirlief,"RT @SpartaJustice: RULERS OF OUR WORLD: The Committee of 300 is a small group of insidious people who control all aspects of our world. Thr…",25/04/2023,en,False
